Symbol,'Market Cap',' Average Volume',' Previous Close',' Open',' Book Value',' Last Trade Price',' 200 Day Moving Average',' 50 Day Moving Average',' Change from 200 Day',' Change from 50 Day',' Earnings Share',' Estimate EPS Next Quarter',' Estimate EPS Next Year',' Next Year EPS Price Estimate',' Current Year Price EPS Estimate',' Day High',' Day Low',' Year High',' Year Low',' PEG Ratio',' PE Ratio',' Short Ratio'
NVS,0.332789,0.011011,0.190102,0.185965,0.267139,0.186847,0.167099,0.185129,0.47524,0.377798,0.695043,0.151059,0.141929,0.010118,0.012468,0.186951,0.186893,0.167614,0.164249,0.012289,0.005116,0.014052
NVO,0.151786,0.003961,0.079097,0.079145,0.116296,0.07863,0.080817,0.083379,0.353268,0.318322,0.65994,0.083612,0.092632,0.012603,0.016811,0.078732,0.07944,0.079113,0.084966,0.009373,0.005772,0.051522
NRG,0.01165,0.039093,0.047926,0.047829,0.266583,0.046401,0.052194,0.04995,0.334555,0.317065,0.627337,0.091416,0.087861,0.009438,0.008293,0.047316,0.047111,0.061181,0.048381,0.032181,0.009461,0.044496
NUS,0.004694,0.001155,0.103131,0.103257,0.191781,0.106961,0.081401,0.084971,0.517604,0.465745,0.68127,0.136009,0.126292,0.006931,0.008923,0.10799,0.103854,0.157835,0.077633,0.017322,0.003605,0.206089
NUE,0.020952,0.016056,0.08867,0.089349,0.238098,0.088129,0.092323,0.088429,0.34031,0.343974,0.669239,0.123188,0.11463,0.007455,0.011033,0.088588,0.089273,0.094815,0.087431,0.004843,0.004401,0.074941
OXY,0.085929,0.066126,0.148652,0.149815,0.414776,0.149237,0.155549,0.151327,0.321914,0.348915,0.649897,0.098662,0.113968,0.012725,0.036143,0.149628,0.149983,0.164168,0.147301,0.017322,0.02182,0.046838
OII,0.007109,0.006287,0.101217,0.096239,0.210025,0.091167,0.113681,0.105135,0.2298,0.272735,0.691529,0.140468,0.121654,0.007393,0.008846,0.095025,0.092066,0.12783,0.101854,0.006978,0.002785,0.04918
OCN,0.001515,0.08066,0.015751,0.015643,0.173454,0.016218,0.03784,0.018457,0.242099,0.316865,0.65725,0.104236,0.090909,0.002635,0.006331,0.016467,0.015638,0.067446,0.011509,0.012081,0.001101,0.042155
ODP,0.007004,0.141443,0.017777,0.017717,0.121536,0.017503,0.011328,0.015959,0.409245,0.337087,0.628107,0.090858,0.073814,0.011773,0.034117,0.017545,0.017724,0.0151,0.007802,0.003072,0.009461,0.065574
OGE,0.009108,0.001811,0.061792,0.0617,0.193604,0.061537,0.064641,0.066907,0.349331,0.311032,0.665874,0.09476,0.09515,0.008914,0.01077,0.061579,0.061879,0.063118,0.066898,0.017132,0.003393,0.025761
OIBR,0.002438,0.018549,0.003818,0.003827,0.161735,0.003887,0.008473,0.00438,0.345753,0.323162,0.652303,0.072464,0.061887,0.01282,0.01569,0.003849,0.003869,0.029305,0.000794,0.000989,0.000179,0.004684
OIS,0.003014,0.000339,0.079395,0.080923,0.240455,0.076379,0.098461,0.084658,0.233767,0.299211,0.687609,0.12709,0.102968,0.008903,0.007501,0.080176,0.077522,0.106221,0.078244,0.017322,0.002318,0.037471
ORI,0.005243,0.003268,0.027535,0.027458,0.18738,0.027276,0.02611,0.027366,0.378201,0.33078,0.658696,0.09699,0.081898,0.007711,0.009348,0.027329,0.027594,0.027288,0.027338,0.007498,0.001958,0.077283
OHI,0.007062,0.00588,0.075027,0.075256,0.16453,0.074641,0.069051,0.081064,0.400431,0.308568,0.66194,0.124303,0.107077,0.007521,0.00902,0.074599,0.075063,0.073174,0.062436,0.036763,0.004955,0.196721
OMC,0.025865,0.005177,0.140566,0.140722,0.171221,0.140361,0.130693,0.143121,0.418892,0.343303,0.696544,0.153289,0.131725,0.008664,0.010892,0.140457,0.141044,0.126919,0.130414,0.014216,0.003605,0.210773
OKS,0.01539,0.003212,0.082146,0.082386,0.227546,0.082786,0.088706,0.079227,0.330422,0.363038,0.670591,0.114827,0.098198,0.010675,0.011806,0.083285,0.082457,0.096296,0.074679,0.015153,0.003869,0.168618
OKE,0.013429,0.016355,0.084878,0.085627,0.11983,0.086866,0.102534,0.086858,0.271392,0.345298,0.659075,0.105351,0.090246,0.014976,0.019629,0.087747,0.085641,0.115041,0.080505,0.035357,0.006498,0.091335
OPK,0.008323,0.027791,0.026346,0.026458,0.11469,0.025812,0.016374,0.021161,0.428108,0.355394,0.634839,0.080825,0.065333,0.01282,0.01569,0.026231,0.025639,0.023138,0.015604,0.017322,0.009461,0.388759
ORCL,0.262535,0.160249,0.080584,0.08046,0.163263,0.080506,0.07395,0.08331,0.405702,0.329003,0.671727,0.136566,0.110257,0.007471,0.009303,0.080505,0.080799,0.075208,0.072948,0.008852,0.003648,0.039813
OWW,0.00176,0.006337,0.01787,0.021569,0.105949,0.02142,0.014914,0.017305,0.410867,0.351538,0.641084,0.085842,0.073019,0.013667,0.041168,0.02144,0.021598,0.01632,0.0132,0.033274,0.015027,0.058548
OC,0.006238,0.007775,0.073688,0.071719,0.285544,0.071456,0.062394,0.072836,0.421622,0.33437,0.670618,0.114827,0.108004,0.007215,0.011098,0.071966,0.071805,0.075094,0.057792,0.003905,0.003439,0.056206
OI,0.005792,0.005844,0.04735,0.047422,0.148615,0.047445,0.04842,0.047378,0.363444,0.336344,0.651005,0.124303,0.104426,0.005064,0.006659,0.047755,0.047707,0.056446,0.046119,0.008436,0.006093,0.074941
PCG,0.035566,0.02845,0.102592,0.102628,0.287972,0.10105,0.089469,0.108381,0.434034,0.309995,0.680594,0.125975,0.116751,0.008257,0.009998,0.101498,0.102141,0.097174,0.084661,0.01005,0.003648,0.042155
PKD,0.000546,0.000657,0.00603,0.006142,0.133144,0.006056,0.007688,0.00548,0.363326,0.329296,0.64207,0.085284,0.068381,0.04519,0.007122,0.00619,0.006113,0.01279,0.005093,0.004114,0.00309,0.091335
